id,user_id,frequency_rating,frequency_reason,explanation_quality_rating,explanation_quality_reason,system_helpfulness_rating,system_helpfulness_reason,learning_improvement_rating,learning_improvement_reason,auto_explanation,auto_reason,system_accuracy,system_accuracy_index,recommendation,recommendation_index,created_at,manual_trigger,manual_reason
1,1,3,test,3,test,3,test,3,test,True,test,Somewhat,2,Yes,0,2025-08-18 20:24:41.900649,,
2,2,3,,3,,3,,3,,False,none,Somewhat,2,Maybe,2,2025-08-18 19:14:55.373346,,
3,4,3,,2,,3,,3,,True,For my level I need it anyways,Somewhat,2,Maybe,2,2025-08-19 11:31:09.266770,True,
4,14,2,,3,,3,,3,,False,no not explanation every time,Somewhat,2,Yes,0,2025-08-25 19:22:13.131712,False,
5,13,1,,3,,3,,3,,False,"In general, I would prefer a system that really knows when I need an explanation ;-). But it would be annoying two if the system always Show me an explanation.",No,1,No,1,2025-08-25 21:26:38.460697,True,
6,15,3,,4,,3,,3,,False,Ich glaube da fehlt ein or...aber nein ich würde dann einfach nach einer Erklärung fragen wenn ich eine benötigen würde ,Somewhat,2,Maybe,2,2025-08-27 21:08:48.702812,False,
7,16,4,,3,,3,,3,,False,,Somewhat,2,Maybe,2,2025-08-27 21:16:21.613066,False,
8,18,3,,4,,3,,3,,False,,Yes,0,Maybe,2,2025-08-28 18:02:32.211764,True,
9,19,4,,4,,3,,3,,False,,Somewhat,2,Maybe,2,2025-08-29 12:56:52.305649,False,
10,20,3,,3,,3,,3,,False,,No,1,No,1,2025-08-29 13:42:21.396493,True,
11,21,2,,3,,3,,3,,False,,Somewhat,2,Maybe,2,2025-08-29 14:43:04.294756,False,
12,22,1,,3,,3,,3,,True,,No,1,No,1,2025-08-29 16:19:13.729845,True,
13,23,3,,3,,3,,3,,False,,Yes,0,Maybe,2,2025-08-29 18:56:51.270964,True,
14,24,3,,3,,3,,3,,False,,Yes,0,Maybe,2,2025-08-29 19:35:30.403878,False,
